concept_name,concept_synonym
DOUBLE LUMEN MULTICATHETER,더블 루멘 멀티카테터
EVIA HF-T,에비아 HF-T
MONITORING LINE,모니터링 라인
FABIAN NIV HEATED BREATHING CIRCUIT,FABIAN NIV 가열 호흡 회로
OXIFIX U,옥시픽스 U
VIACATH NG STEERABLE DIAGNOSTIC CATHETER,조종 가능한 진단 카테터의 비아카스
APIS TRUFIT CERVICAL PLATE SYSTEM,APIS TRUFIT 경추판 시스템
MICRO SCREW FOR NS,NS용 마이크로 스크류
APIS CHN II NAIL SET (LAG SCREW),APIS CHN II 네일 세트(래그 나사)
LOSPA IS ACP SCREW(STERILE),LOSPA는 ACP 나사(멸균)입니다.
TUNNELER,터널
MEGA 3.5 SPINE ROD,메가 3.5 스파인 로드
JIVE PTCA BALLOON CATHETER,JIVE PTCA 풍선 카테터
BASX BLADELESS TROCAR,BASX 무칼날 트로카
GORE ACUSEAL CARDIOVASCULAR PATCH,GORE ACUSEAL 심혈관 패치
MEPILEX HEEL,메필렉스 전체
SEMITENDINOSUS/GRACILIS TENDON,세미텐디노소스/그라실리스 힘줄
SENSURA 2PC UROSTOMY BAG,CENSURA 2PC 요루 가방
OSTOMY BRAVA BELT,장루 브라바 벨트
QUICK ANCHOR,빠른 앵커
"SYNERGY PRIMARY STEM, COATED (POROUS, HA)","시너지 1차 줄기, 코팅됨(다공성, HA)"
MANI SUTURES,마니 봉합
APIS VAMIC VACUUM MIXING SYSTEM,APIS VAMIC 진공 혼합 시스템
MINI LOCKING COMPRESSION PLATE,미니 잠금 압축 플레이트
MINIARC TM SLING SYSTEM,MINIARC TM 슬링 시스템
HUMERUS PROXIMAL,상완골 근위부
UNI EX. LINE,유니 EX. 선
Y PLATE,그리고 접시
POLARIS X/DX DIAGNOSTIC CATHETER,POLARIS X/DX 진단 카테터
BIO-ROLL 4 NW,바이오롤 4 NW
NITI-S COLORECTAL STENT,NITI-S 대장직장 스텐트
SYRINGEAVITENE COLLAGEN HEMOSTAT,주사기형 콜라겐 지혈제
4CIS SPINAL FIXATION SYSTEM ROD,4CIS 척추 고정 시스템 로드
FEMUR DISTAL(W/O CARTILAGE),대퇴골 원위(연골 없음)
DYNAMESH - ENDOLAP 3D,DYNAMESH - 엔돌랩 3D
GENOSS LUMBAR PEDICLE SCREW SET-CROSSLINK,GENOSS 요추 척추경 나사 세트-CROSSLINK
TITANIUM ANGLED ABUTMENT,티타늄 앵글 어버트먼트
SIRUS TIBIA NAIL SET,사이러스 파이프 네일 세트
SAPPHIRE Ⅱ NC CORONARY DILATATION CATHETER,SAPPHIRE Ⅱ NC 관상동맥 확장 카테터
MAHURKAR ELITE ACUTE TRIPLE LUMEN CATHETER,MAHURKAR ELITE 급성 삼중 루멘 카테터
RAULERSON ONE-STEP INTRODUCER,RAULERSON 원스텝 소개자
PERIDOT TLIF PEEK CAGE,페리도트 TLIF PEEK 케이지
GREEN-KP,그린KP
PLASMAFLO OP-05W(L),플라즈마플로 OP-05W(L)
FLOW REGULATOR,유량 조절기
"PERIDOT ALIF, DLIF, OLIF PEEK CAGE","페리도트 알리프, DLIF, 올리프 피크 케이지"
ALLOBONE(TIBIA PROXIMAL W/ PATELLA LIG.),알로본(슬개골 근위 경골)
AORTIC VALVE CONDUIT,대동맥 판막 도관
METAL BALL HEAD,메탈 볼 헤드
TEMPORARY PACING LEAD,임시 속도 선두
RECONSTRUCTION PLATE CURVED,곡선형 재구성 플레이트
SCORPION NEEDLE,전갈바늘
"ORTHOPEDIC OSTEON Ⅲ, MEDYOS Ⅲ","정형외과 OSTEON Ⅲ, MEDYOS Ⅲ"
ZEBRA GUIDE WIRE,얼룩말 가이드 와이어
AMPLATZ FIXED CORE WIRE GUIDE,AMPLATZ 고정 코어 와이어 가이드
THERASORB ALGI PLUS HYDROPHILIC,THERASORB ALGI PLUS 친수성
HA ALTO PROSTHESES,HA 알토 보철물
SN LRS ELP,SN LRS ELP
TIBIALIS POSTERIOR,후방 경골
MO.MA ULTRA  DOUBLE PROXIMAL CEREBRAL PROTECTION DEVICE,MO.MA 울트라 더블 근위 뇌 보호 장치
DBS EXTENSION LEAD,DBS 확장 리드
INTERGRAFT-CC,인터그라프트-CC
AEQUALIS STEM,동등한 줄기
DUMON STENT(BRONCHIAL),듀몬스텐트(기관지)
FEMUR DISTAL SPLIT LATERAL,대퇴골 원위 분할 측면
HEATED CIRCUIT SET PLUS NC,가열회로 세트 플러스 NC
BK HTO PLATE CANNULATED LOCKING SCREW,BK HTO 플레이트 캐뉼러형 잠금 나사
INTERGRAFT-BP,인터그라프트-BP
AMPLATZ EXTRA STIFF WIRE GUIDE-TQT,AMPLATZ EXTRA STIFF 와이어 가이드-TQT
GSS ILIAC CONNECTOR,GSS 장골 커넥터
KISPLANT,키스플랜트
