concept_name,concept_synonym
"sodium chloride(0.9%) 900mg/100ml, vancomycin HCl(바이알) 500mg","sodium chloride (0.9%) 900mg/100ml, vancomycin HCl (vial) 500mg"
fentanyl citrate (as fentanyl 4mg(0.2mg/회)),fentanyl citrate (as fentanyl 4mg (0.2mg/time))
micronized ciclesonide 50ug/회,micronized ciclesonide 50ug/time
혈청중 에디에이치효소 정량검사,Quantitative test for EdH enzyme in serum
혈청중 지오티 활성정량검사,Quantitative test for GOT activity in serum
"L-alanine 3.664g(B액400ml중), L-arginine 2.48g(B액400ml중), L-aspartic acid 0.732g(B액400ml중), L-glutamic acid 1.264g(B액400ml중), glycine 1.756g(B액400ml중), L-histidine 1.508g(B액400ml중), L-isoleucine 1.264g(B액400ml중)","L-alanine 3.664g (in 400ml of solution B), L-arginine 2.48g (in 400ml of solution B), L-aspartic acid 0.732g (in 400ml of solution B), L-glutamic acid 1.264g (in 400ml of solution B), Glycine 1.756g (in 400ml of solution B), L-histidine 1.508g (in 400ml of solution B), L-isoleucine 1.264g (in 400ml of solution B)"
"calcium chloride dihydrate 0.28g(A액380mL중), glucose monohydrate (as glucose 85.28g) (B액656mL중), glycine 4.18g(A액380mL중), L-alanine 5.32g(A액380mL중), L-arginine 4.56g(A액380mL중), L-histidine 1.14g(A액380mL중), L-isoleucine","calcium chloride dihydrate 0.28g (in 380mL of solution A), glucose monohydrate (85.28g as glucose) (in 656mL of solution B), glycine 4.18g (in 380mL of solution A), L-alanine 5.32g (in 380mL of solution A), L -arginine 4.56g (in 380mL of solution A), L-histidine 1.14g (in 380mL of solution A), L-isoleucine"
"요중포도당,단백질,PH,우로빌리노겐,빌리루빈,케톤체,잠혈 동시 검사용시험지","Test strip for simultaneous testing of urinary glucose, protein, PH, urobilinogen, bilirubin, ketone body, and occult blood"
각 바이알은 알레르기성물질 추축물 1종,Each vial contains 1 type of allergen extract
"Ca chloride 77mg(2액 20ml중), dextrose 460mg(2액 20ml중), glutathione disulfate 92mg(2액 20ml중), KCI 189.6mg(1액 480ml중), Mg chloride 100mg(2액 20ml중), Na bicarbonate 1051.2mg(1액 480ml중), Na hydrogen phosphate 207.84mg(1액","Ca chloride 77mg (in 20ml of solution 2), dextrose 460mg (in 20ml of solution 2), glutathione disulfate 92mg (in 20ml of solution 2), KCI 189.6mg (in 480ml of solution 1), Mg chloride 100mg (in 20ml of solution 2), Na bicarbonate 1051.2mg (in 480ml of 1 solution), Na hydrogen phosphate 207.84mg (1 solution)"
"aminoacetic acid 2975mg(A액500ml중), calcium chloride 331mg(B액500ml중), dextrose 120g(B액500ml중), L-alanine 1500mg(A액500ml중), L-arginine 2025mg(A액500ml중), L-cysteine HCl 50mg(A액500ml중), L-histidine 600mg(A액500ml중), L-","aminoacetic acid 2975mg (in 500ml of solution A), calcium chloride 331mg (in 500ml of solution B), dextrose 120g (in 500ml of solution B), L-alanine 1500mg (in 500ml of solution A), L-arginine 2025mg (in 500ml of solution A) , L-cysteine ​​HCl 50mg (in 500ml of solution A), L-histidine 600mg (in 500ml of solution A), L-"
"요중포도당,단백질 동시 검사용시험지",Test strip for simultaneous urinary glucose and protein testing
"aminoacetic acid(glycine) 4.12g(B액400ml중), Calcium chloride 0.264g(C액 400ml중), glucose 40%(glucose anhydate 160g) 176g(C액 400ml중), intralipid 20%(purified soybean oil 40g) 200ml(A액200ml중), L-alanine 8.28g(B액400ml중), L-arginin","aminoacetic acid (glycine) 4.12g (in 400ml of solution B), calcium chloride 0.264g (in 400ml of solution C), glucose 40% (glucose anhydate 160g) 176g (in 400ml of solution C), intralipid 20% (purified soybean oil 40g) 200ml (in 200ml of solution A), L-alanine 8.28g (in 400ml of solution B), L-arginin"
"alanine 8.49g(C액500ml중), arginine 4.73g(C액500ml중), asparaginic acid 2.63g(C액500ml중), calcium chloride dihydrate 0.77875g(C액500ml중), glucose monohydrate(as glucose anhydrate) 180g(A액500ml중), glutamic acid 6.14g(C액500ml중)","alanine 8.49g (in 500ml C solution), arginine 4.73g (in 500ml C solution), asparaginic acid 2.63g (in 500ml C solution), calcium chloride dihydrate 0.77875g (in 500ml C solution), monohydrate (as glucose anhydrate) 180g (in 500ml of solution A), glutamic acid 6.14g (in 500ml of solution C)"
혈청중 칼슘 성분측정,Measurement of calcium content in serum
CA-125의 정량 검사,Quantitative testing of CA-125
"calcium chloride dihydrate 0.92g(A분획 250mL중), magnesium chloride hexahydrate 0.61g(A분획 250mL중), sodium chloride 30.59g(B분획 4750mL중), sodium bicarbonate 13.87g(B분획 4750mL중), potassium chloride 1.4915g(B분획 4750mL중), d","Calcium chloride dihydrate 0.92g (in 250mL of fraction A), magnesium chloride hexahydrate 0.61g (in 250mL of fraction A), sodium chloride 30.59g (in 4750mL of fraction B), sodium bicarbonate 13.87g (in 4750mL of fraction B), potassium chloride 1.4915g (in 4750 mL of fraction B), d"
"bacillus subtilis·streptococcus faecium(streptococcus faecium 2.25억마리,bacillus subtilis 0.25억마리) 15.625g(62.5mg/g)","bacillus subtilis·streptococcus faecium (streptococcus faecium 225 million, bacillus subtilis 025 million) 15.625g (62.5mg/g)"
"calcium chloride 1.1025g/0.25ℓ (A분획), dextrose anhydrate 5g/0.25ℓ (A분획), magnesium chloride hexahtdrate 0.5083g/0.25ℓ (A분획), potassium chloride 0.7455g/0.25ℓ (A분획), sodium bicarbonate 14.744g/4.75ℓ (B분획), sodium chloride 30.","calcium chloride 1.1025g/0.25ℓ (fraction A), dextrose anhydrate 5g/0.25ℓ (fraction A), magnesium chloride hexahedrate 0.5083g/0.25ℓ (fraction A), potassium chloride 0.7455g/0.25ℓ (fraction A), sodium bicarbonate 14.744g/4.75ℓ (B fraction), sodium chloride 30."
