concept_name,concept_synonym
00:00 - 06:00 to admission,오전0-6시입원
discharge between 18:00 - 24:00,18-24시퇴원
From 181 to 360 days of hospitalization,입원181일-360일까지
After 361 days of hospitalization,입원361일부터
"The day of general health checkup, medical examination",일반건강검진 당일 진찰
"The day of Life cycle-based checkup, medical examination",생애전환기 건강검진 당일 진찰
Nighttime,야간
Nighttime - except for Differential rate System,야간-차등수가제외
"Nighttime, The day of general health checkup, medical examination","야간, 일반건강검진 당일 진찰"
"Nighttime, The day of Life cycle-based checkup, medical examination","야간, 생애전환기 건강검진 당일 진찰"
Saturday 09:00-13:00,토요09-13
"Saturday 09:00-13:00, The day of general health checkup, medical examination","토요09-13, 일반건강검진 당일 진찰"
"Saturday 09:00-13:00, The day of Life cycle-based checkup, medical examination","토요09-13, 생애전환기 건강검진 당일 진찰"
holiday,공휴일
"holiday, The day of general health checkup, medical examination","공휴일, 일반건강검진 당일 진찰"
"holiday, The day of Life cycle-based checkup, medical examination","공휴일, 생애전환기 건강검진 당일 진찰"
Under 12 months,만1세미만
"Under 12 months, The day of Infant/Toddler health checkup, medical examination","만1세미만, 영유아 건강검진 당일 진찰"
"Under 12 months, Nighttime","만1세미만, 야간"
"Under 12 months, Nighttime, except for Differential rate System","만1세미만, 야간-차등수가제외"
"Under 12 months, Nighttime, The day of Infant/Toddler health checkup, medical examination","만1세미만, 야간, 영유아 건강검진 당일 진찰"
"Under 12 months, midnight","만1세미만, 심야"
"Under 12 months, midnight- except for Differential rate System","만1세미만, 심야-차등수가제외"
"Under 12 months, midnight- The day of Infant/Toddler health checkup, medical examination","만1세미만, 심야, 영유아 건강검진 당일 진찰"
"Under 12 months, Saturday 09:00-13:00","만1세미만, 토요09-13"
"Under 12 months, Saturday 09:00-13:00, The day of Infant/Toddler health checkup, medical examination","만1세미만, 토요09-13, 영유아 건강검진 당일 진찰"
"Under 12 months, holiday","만1세미만, 공휴일"
"Under 12 months, holiday, The day of Infant/Toddler health checkup, medical examination","만1세미만, 공휴일, 영유아 건강검진 당일 진찰"
More than 12 months~ Under 72 months,만1세이상~만6세미만
"More than 12 months~ Under 72 months, The day of Infant/Toddler health checkup, medical examination","만1세이상~만6세미만, 영유아 건강검진 당일 진찰"
"More than 12 months~ Under 72 months, Nighttime","만1세이상~만6세미만, 야간"
"More than 12 months~ Under 72 months, Nighttime- except for Differential rate System","만1세이상~만6세미만, 야간-차등수가제외"
"More than 12 months~ Under 72 months, Nighttime, The day of Infant/Toddler health checkup, medical examination","만1세이상~만6세미만, 야간, 영유아 건강검진 당일 진찰"
"More than 12 months~ Under 72 months, midnight","만1세이상~만6세미만, 심야"
"More than 12 months~ Under 72 months, midnight- except for Differential rate System","만1세이상~만6세미만, 심야-차등수가제외"
"More than 12 months~ Under 72 months, midnight, The day of Infant/Toddler health checkup, medical examination","만1세이상~만6세미만, 심야, 영유아 건강검진 당일 진찰"
"More than 12 months~ Under 72 months, Saturday 09:00-13:00","만1세이상~만6세미만, 토요09-13"
"More than 12 months~ Under 72 months, Saturday 09:00-13:00, The day of Infant/Toddler health checkup, medical examination","만1세이상~만6세미만, 토요09-13, 영유아 건강검진 당일 진찰"
"More than 12 months~ Under 72 months, holiday","만1세이상~만6세미만, 공휴일"
"More than 12 months~ Under 72 months, holiday, The day of Infant/Toddler health checkup, medical examination","만1세이상~만6세미만, 공휴일, 영유아 건강검진 당일 진찰"
person with Brain Lesion disability ㆍintellectual disability ㆍ mental disabilityㆍautism,뇌병변ㆍ지적ㆍ정신ㆍ자폐성장애인
"person with Brain Lesion disability ㆍintellectual disability ㆍ mental disabilityㆍautism, The day of general health checkup, medical examination","뇌병변ㆍ지적ㆍ정신ㆍ자폐성장애인, 일반건강검진 당일 진찰"
"person with Brain Lesion disability ㆍintellectual disability ㆍ mental disabilityㆍautism, The day of Life cycle-based checkup, medical examination","뇌병변ㆍ지적ㆍ정신ㆍ자폐성장애인, 생애전환기 건강검진 당일 진찰"
"person with Brain Lesion disability ㆍintellectual disability ㆍ mental disabilityㆍautism, Nighttime","뇌병변ㆍ지적ㆍ정신ㆍ자폐성장애인, 야간"
"person with Brain Lesion disability ㆍintellectual disability ㆍ mental disabilityㆍautism, Nighttime - except for Differential rate System","뇌병변ㆍ지적ㆍ정신ㆍ자폐성장애인, 야간-차등수가제외"
"person with Brain Lesion disability ㆍintellectual disability ㆍ mental disabilityㆍautism, Nighttime, The day of general health checkup, medical examination","뇌병변ㆍ지적ㆍ정신ㆍ자폐성장애인, 야간, 일반건강검진 당일 진찰"
"person with Brain Lesion disability ㆍintellectual disability ㆍ mental disabilityㆍautism, Nighttime, The day of Life cycle-based checkup, medical examination","뇌병변ㆍ지적ㆍ정신ㆍ자폐성장애인, 야간, 생애전환기 건강검진 당일 진찰"
"person with Brain Lesion disability ㆍintellectual disability ㆍ mental disabilityㆍautism, Saturday 09:00-13:00","뇌병변ㆍ지적ㆍ정신ㆍ자폐성장애인, 토요09-13"
"person with Brain Lesion disability ㆍintellectual disability ㆍ mental disabilityㆍautism, Saturday 09:00-13:00, The day of general health checkup, medical examination","뇌병변ㆍ지적ㆍ정신ㆍ자폐성장애인, 토요09-13, 일반건강검진 당일 진찰"
"person with Brain Lesion disability ㆍintellectual disability ㆍ mental disabilityㆍautism, Saturday 09:00-13:00, The day of Life cycle-based checkup, medical examination","뇌병변ㆍ지적ㆍ정신ㆍ자폐성장애인, 토요09-13, 생애전환기 건강검진 당일 진찰"
"person with Brain Lesion disability ㆍintellectual disability ㆍ mental disabilityㆍautism, holiday","뇌병변ㆍ지적ㆍ정신ㆍ자폐성장애인, 공휴일"
"person with Brain Lesion disability ㆍintellectual disability ㆍ mental disabilityㆍautism, holiday, The day of general health checkup, medical examination","뇌병변ㆍ지적ㆍ정신ㆍ자폐성장애인, 공휴일, 일반건강검진 당일 진찰"
"person with Brain Lesion disability ㆍintellectual disability ㆍ mental disabilityㆍautism, holiday, The day of Life cycle-based checkup, medical examination","뇌병변ㆍ지적ㆍ정신ㆍ자폐성장애인, 공휴일, 생애전환기 건강검진 당일 진찰"
"The day of cancer screening, medical examination",암검진 당일 진찰
"Nighttime, The day of cancer screening, medical examination","야간, 암검진 당일 진찰"
